graph,n,generator_exponent,group_order,rotation_determinant,rotation_angle,equivariance_residual_max,equivariance_residual_rms,averaged_norm_min,averaged_norm_max,averaged_norm_deficit_max,averaged_kirchhoff_residual,distance_original_to_average_max
flower_J5,5,1,10,1.0000000000000009,1.2869815473646322,1.9977442561406973,0.8236868440116164,0.4056853897258058,0.8935339040132891,0.5943146102741942,2.7755575615628914e-16,1.1574465365484654
flower_J5,5,3,10,0.9999999999999997,2.4113175230453763,1.8517556177606398,0.9920320610333969,0.39978821750345805,0.9656070504390659,0.600211782496542,3.3306690738754696e-16,1.0986632217871384
flower_J5,5,7,10,0.9999999999999991,2.411317523045376,1.8517556177606391,0.9920320610333967,0.3997882175034574,0.9656070504390653,0.6002117824965426,3.3306690738754696e-16,1.0986632216530388
flower_J5,5,9,10,0.9999999999999996,1.2869815473646324,1.997744256140697,0.8236868440116164,0.4056853897258049,0.8935339040132863,0.5943146102741951,3.3306690738754696e-16,1.15744653649863
flower_J7,7,1,14,0.9999999999999999,1.6028671653081001,1.8075675916626917,1.0725928823239637,0.025745884750934152,0.7225858399020627,0.9742541152490658,4.2327252813834093e-16,1.3365019233032518
flower_J7,7,3,14,1.0000000000000004,2.0837454112344993,1.898702416932366,1.1943952787725187,0.032535134793899356,0.5144751260243903,0.9674648652061006,4.996003610813204e-16,1.3068004561691626
flower_J7,7,5,14,0.9999999999999999,1.909259704238885,1.9837916874777906,1.283649534136474,0.10209749468338299,0.7805265934801734,0.897902505316617,5.551115123125783e-16,1.3128536236766368
flower_J7,7,9,14,1.0000000000000013,1.9092597042388846,1.9837916874777912,1.2836495341364744,0.10209749468338346,0.7805265934801764,0.8979025053166165,6.106226635438361e-16,1.2691886062053401
flower_J7,7,11,14,1.0000000000000002,2.0837454112344993,1.8987024169323659,1.1943952787725187,0.03253513479389919,0.5144751260243914,0.9674648652061009,4.996003610813204e-16,1.3449857071615965
flower_J7,7,13,14,1.0000000000000013,1.6028671653081,1.807567591662692,1.0725928823239637,0.025745884750933437,0.7225858399020648,0.9742541152490666,4.163336342344337e-16,1.3277610609086292
flower_J9,9,1,18,1.0000000000000004,1.3443810041591224,1.9572491024755416,1.0843224273875782,0.1508470950060563,0.564281956712609,0.8491529049939437,4.996003610813204e-16,1.3556144387117148
flower_J9,9,5,18,1.0000000000000007,2.990276813776721,1.9473798141302883,1.17347901905976,0.11008533058512433,0.5375521172842325,0.8899146694148756,4.163336342344337e-16,1.3562620202210092
flower_J9,9,7,18,0.9999999999999993,2.3413338071769783,1.9994982754778556,1.2300661273168942,0.015186441000737341,0.47713177285949854,0.9848135589992627,3.3306690738754696e-16,1.2553638952820254
flower_J9,9,11,18,0.9999999999999999,2.3413338071769783,1.9994982754778556,1.2300661273168942,0.01518644100073761,0.47713177285949987,0.9848135589992624,3.608224830031759e-16,1.2456822721242287
flower_J9,9,13,18,1.0000000000000002,2.9902768137767195,1.9473798141302876,1.1734790190597597,0.110085330585124,0.5375521172842321,0.889914669414876,4.718447854656915e-16,1.3575515210024003
flower_J9,9,17,18,0.9999999999999994,1.3443810041591224,1.957249102475541,1.084322427387578,0.15084709500605556,0.5642819567126075,0.8491529049939445,3.608224830031759e-16,1.3342052125045525
flower_J11,11,1,22,1.0000000000000002,1.3732729410189168,1.8024776569686534,1.0959984864376247,0.009544448119033305,0.2512352540480637,0.9904555518809667,2.706168622523819e-16,1.1988482787351142
flower_J11,11,3,22,0.9999999999999993,2.422798976608226,1.9872287173973102,1.1571836099154338,0.040685460043651075,0.46850681292652246,0.959314539956349,3.226585665316861e-16,1.283259535413801
flower_J11,11,5,22,0.9999999999999991,3.02757998728495,1.9893772705955415,1.212715218277022,0.02241796498751456,0.4489902396782835,0.9775820350124854,3.0531133177191805e-16,1.2742887579276783
flower_J11,11,7,22,1.0000000000000009,2.6935539227427765,1.9601402371682384,1.2523216838239544,0.061487779235225325,0.34211769682527027,0.9385122207647747,3.885780586188048e-16,1.2471551215125714
flower_J11,11,9,22,0.9999999999999997,1.7821979184695533,1.9844543418328242,1.2182765299665448,0.028177224320989326,0.3478977391514636,0.9718227756790107,3.608224830031759e-16,1.2378970327692138
flower_J11,11,13,22,0.9999999999999997,1.7821979184695536,1.9844543418328244,1.2182765299665448,0.028177224320990048,0.3478977391514641,0.97182277567901,3.608224830031759e-16,1.2652988225911848
flower_J11,11,15,22,0.9999999999999997,2.6935539227427765,1.9601402371682386,1.2523216838239541,0.06148777923522504,0.34211769682526894,0.9385122207647749,3.608224830031759e-16,1.212863544537245
flower_J11,11,17,22,1.0,3.0275799872849527,1.989377270595542,1.2127152182770222,0.02241796498751456,0.44899023967828533,0.9775820350124854,3.3306690738754696e-16,1.2614845281163756
flower_J11,11,19,22,1.0000000000000007,2.4227989766082256,1.9872287173973104,1.157183609915434,0.04068546004365113,0.46850681292652424,0.9593145399563489,3.0531133177191805e-16,1.3327810767315558
flower_J11,11,21,22,1.0000000000000016,1.3732729410189168,1.8024776569686538,1.0959984864376247,0.009544448119033247,0.2512352540480636,0.9904555518809668,2.8102520310824275e-16,1.2199139948102184
flower_J13,13,1,26,0.9999999999999994,3.0699984536096623,1.993337137543779,1.279237080773526,0.03219831813154147,0.5442065667967746,0.9678016818684585,4.163336342344337e-16,1.4079661617431094
flower_J13,13,3,26,0.9999999999999999,2.2562538868519755,1.9794655488337565,1.2264015597061138,0.08188439170188581,0.3947636385290861,0.9181156082981142,3.885780586188048e-16,1.3181129001197684
flower_J13,13,5,26,1.0000000000000004,3.005010423424588,1.9553952616791974,1.1915839441569511,0.06094455444393478,0.4263640896579416,0.9390554455560652,5.828670879282072e-16,1.295259444364485
flower_J13,13,7,26,1.000000000000001,2.7034627711200745,1.9705849461277056,1.2275428264871624,0.01766301140503274,0.36129724199877833,0.9823369885949672,2.498001805406602e-16,1.252681584839766
flower_J13,13,9,26,0.9999999999999999,2.4040211839010572,1.9480675942127144,1.1484332470994127,0.06000259166354287,0.3216425499963897,0.9399974083364572,3.885780586188048e-16,1.287512182658164
flower_J13,13,11,26,1.0000000000000002,2.851853641245236,1.993421045627179,1.2570102593361439,0.13513225354380315,0.4669548992817751,0.8648677464561969,3.7470027081099033e-16,1.2894714249744474
flower_J13,13,15,26,1.0000000000000002,2.851853641245236,1.993421045627179,1.2570102593361439,0.1351322535438028,0.4669548992817755,0.8648677464561972,3.3306690738754696e-16,1.3368426946072676
flower_J13,13,17,26,0.9999999999999996,2.404021183901057,1.9480675942127141,1.1484332470994127,0.06000259166354284,0.3216425499963902,0.9399974083364572,3.400058012914542e-16,1.28355312549622
flower_J13,13,19,26,0.9999999999999999,2.703462771120074,1.9705849461277054,1.2275428264871622,0.01766301140503268,0.36129724199877683,0.9823369885949673,2.1510571102112408e-16,1.2946860513988674
flower_J13,13,21,26,1.0000000000000013,3.0050104234245865,1.955395261679198,1.1915839441569511,0.06094455444393409,0.4263640896579432,0.9390554455560659,3.95516952522712e-16,1.2853078269865998
flower_J13,13,23,26,0.9999999999999998,2.256253886851976,1.9794655488337562,1.2264015597061138,0.08188439170188665,0.3947636385290856,0.9181156082981133,4.718447854656915e-16,1.2980864123038123
flower_J13,13,25,26,0.9999999999999999,3.0699984536096623,1.9933371375437787,1.2792370807735263,0.032198318131541524,0.5442065667967754,0.9678016818684585,3.3306690738754696e-16,1.4354876101079763
